layer_name,classification,source_authority,exact_file_path,coverage_and_count,operational_semantics
OSM Road Network,A. REAL / PUBLISHED SOURCE,OpenStreetMap Contributors,data/raw/osm/yamuna_expressway_network.osm,"165 km corridor, 1,863 nodes, 3,461 directed edges","Ground-truth highway alignment, ramps, flyovers, and carriageway separation"
RoadTwin Standardized Segments,B. EMPIRICALLY DERIVED FROM PUBLISHED SOURCE,OSM Derived via Segment Builder Algorithm,data/processed/segments/yamuna_expressway_segments.parquet,"405 directed segments (201 SB, 204 NB, 39 ramps)",Standard spatial unit of analysis (~500m length)
Historical Accident Records,A. REAL / PUBLISHED SOURCE,MoRTH / YEIDA Annual Reports (2012-2023),data/processed/accidents/yamuna_historical_accidents_mapped.parquet,40 chainage-verified crash records,Historical incident ground truth for lookback features
Atmospheric Weather Layer,C. REANALYSIS / HISTORICAL DATA,NASA POWER / MERRA-2 Hourly Assimilation,data/processed/weather/corridor_weather_hourly_2021_2023.parquet,"2021-2023 hourly observations (131,400 rows across 4 grid cells)","Temperature, relative humidity, precipitation, wind, dew point depression"
Corridor Traffic Baseline,B. EMPIRICALLY DERIVED FROM PUBLISHED SOURCE,SaveLIFE Foundation / TRIPP IIT Delhi / YEIDA Toll Counts,data/processed/traffic/corridor_traffic_baseline_hourly.parquet,"405 segments x 24 hours x 2 day types = 19,440 baseline rows",Diurnal speed and volume curves representing typical baseline patterns
Live Traffic Adapter,D. LIVE EXTERNAL PROVIDER,TomTom Traffic Flow API v4,scripts/ingest_traffic_data.py,Real-time HTTP querying (or explicit MOCK_OR_UNAVAILABLE),Live flow speed when API key configured; explicit fallback when missing
Master Multi-Source Dataset,B. EMPIRICALLY DERIVED FROM PUBLISHED SOURCE,Spatio-Temporal Fusion Pipeline,data/processed/master/yamuna_master_feature_dataset.parquet,"10,643,400 segment-hour rows (405 segments x 26,280 hours)",Unified spatio-temporal feature space for CP07 ML training
CP07 XGBoost Accident Risk Model,G. DERIVED MODEL OUTPUT,RoadTwin ML Training Pipeline (CP07),data/processed/ml/checkpoint_07_xgboost_model.json,"31 engineered features, strict chronological train/val/test split",Predicts forward 3-hour relative risk percentile (decision-support ranking)
What-If Incident Simulation Engine,F. SIMULATION ASSUMPTION,RoadTwin IncidentSimulator (CP08/CP09),scripts/incident_simulator.py,"5 severity levels, capacity factors 0.0 to 0.8, upstream spillback",Calculates speed drop and upstream queueing propagation
Emergency Response Depots,F. SIMULATION ASSUMPTION,Strategically placed toll & cut locations (SIMULATION_DEPOT),scripts/emergency_dispatch.py,"6 corridor stations (Pari Chowk, Jewar, Tappal, Mathura, Khandauli, Agra)",Algorithmic response base candidates for nearest-depot routing
Variable Message Sign (VMS) Advisory,F. SIMULATION ASSUMPTION,VMS Policy Matrix based on MoRTH Guidelines (VMS_POLICY_ASSUMPTION),scripts/vms_advisory.py,12 corridor display gantries,Decision-support speed limit & warning message recommendations
Demo Winter Fog Scenario,E. SYNTHETIC DEMONSTRATION INPUT,Synthetic Operational Input for SIH Jury Walkthrough,scripts/operational_intelligence.py,"04:00 winter fog state (T=9.5C, RH=98%, fog_risk=3, speed_excess=+15kph)",Deterministic synthetic scenario to demonstrate dense fog response offline
