record_id,incident_date,incident_time,chainage_km,milestone_marker,direction,corridor_zone,district,police_station,nearest_landmark,severity,fatalities,injuries,primary_cause,weather_condition,road_condition,source_reference
YE_ACC_2021_001,2021-01-12,04:30,14.2,Km 14,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Dankaur,Eastern Peripheral Expressway Interchange,Fatal,2,3,Fog / Poor Visibility,Dense Fog,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_002,2021-01-28,02:15,35.4,Km 35,SB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Jewar,Jewar Interchange Approach,Fatal,1,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_003,2021-02-14,03:45,49.8,Km 50,SB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Tappal / SH-22 Flyover,Grievous Injury,0,5,Overspeeding,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_004,2021-03-02,14:20,76.5,Km 76,SB,Zone 2 (Jewar - Mathura),Mathura,Naujhil,Bajna Interchange Curve,Minor Injury,0,2,Tyre Burst,Sunny / High Temp,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_005,2021-03-21,23:10,102.8,Km 103,SB,Zone 2 (Jewar - Mathura),Mathura,Raya,Raya / Mathura Cut,Fatal,3,2,Stationary Vehicle Collision,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_006,2021-04-10,05:00,141.2,Km 141,SB,Zone 3 (Mathura - Agra),Agra,Khandauli,Khandauli Toll Plaza Approach,Fatal,1,1,Drowsy Driving,Hazy,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_007,2021-05-18,16:40,24.6,Km 25,NB,Zone 1 (Gr Noida - Jewar),Gautam Buddha Nagar,Rabupura,Rabupura Overbridge,Grievous Injury,0,3,Overspeeding,Sunny / High Temp,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_008,2021-06-25,18:30,88.4,Km 88,NB,Zone 2 (Jewar - Mathura),Mathura,Surir,Surir Service Area,Fatal,2,1,Drunken Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_009,2021-07-15,08:15,154.0,Km 154,NB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Itmadpur Rail Overbridge,Minor Injury,0,2,Rain / Slippery Road,Heavy Rain,Wet,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_010,2021-08-04,01:50,164.5,Km 165,SB,Zone 4 (Agra Toll - Kuberpur),Agra,Itmadpur,Kuberpur Terminus / NH-19 Merge,Fatal,1,3,Stationary Vehicle Collision,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
YE_ACC_2021_011,2021-09-12,03:10,62.0,Km 62,SB,Zone 2 (Jewar - Mathura),Aligarh,Tappal,Mid-block Rural Straight,Grievous Injury,0,4,Drowsy Driving,Clear,Dry,YEIDA Police FIR Records / SaveLIFE Audit
